X좌표,Y좌표,대지위치,시군구코드,법정동코드,대지구분코드,번,지,사업장명,관리건축물대장PK,도로명대지위치,연면적(㎡),구조코드,기타구조,주용도코드,기타용도,지상층수,지하층수,사용승인일,허가일,승용승강기수,비상용승강기수,내진설계적용여부,소방청_매칭상태,소방청_스프링클러(AV)설치여부,소방청_간이스프링클러(AV)설치여부,소방청_대상물명,소방청_지번주소_매칭,소방청_도로명주소_매칭,소방청_매칭방식,소방청_매칭점수,용적률,건폐률,고유단속지점수_50m,로그_주변대비_상대위험도_고유단속지점_50m
198630.79627088,452035.412646906,서울특별시 종로구 종로2가 9번지,11110,13800,0,9,0,서울YMCA관광호텔,1002124034,서울특별시 종로구 종로 69 (종로2가),13668.3,21.0,철근콘크리트구조,03000,제1종근린생활시설,8,1,19651026.0,,2,0,0.0,주소만일치,Y,Y,서울 YMCA,서울특별시 종로구 종로2가 9번지,서울특별시 종로구 종로 69 (종로2가),exact_name_gu_dong,100.0,438.95,77.71,37,0.6931471805599453
198586.86523867,452307.07147577,서울특별시 종로구 관훈동 198-11번지,11110,12800,0,198,11,호텔 썬비,1002117468,서울특별시 종로구 인사동7길 26 (관훈동),2070.85,21.0,철근콘크리트구조,15000,숙박시설,9,1,20031105.0,20020720.0,2,0,1.0,이름+주소일치,N,N,호텔 썬비,서울특별시 종로구 관훈동 198-11번지,서울특별시 종로구 인사동7길 26 (관훈동),exact_name_gu_dong,100.0,344.65,49.79,92,0.7304542329727559
198498.918632911,452473.403750001,서울특별시 종로구 관훈동 155-2번지,11110,12800,0,155,2,나인트리 바이 파르나스 서울 인사동,10021100217365,서울특별시 종로구 인사동길 49 (관훈동),45284.0,42.0,"철골철근콘크리트구조,철근콘크리트구조",15000,숙박시설,13,4,20190808.0,20170105.0,9,2,1.0,주소만일치,Y,N,안녕인사동 / 나인트리 파르나스(구.프리미어),서울특별시 종로구 관훈동 155-2번지,서울특별시 종로구 인사동길 49 (관훈동),exact_name_gu_dong,100.0,473.58,58.91,54,0.4895482253187058
199636.410863155,452376.667974027,서울특별시 종로구 인의동 89-15번지,11110,15700,0,89,15,이스트 아뜰리에,100216121,서울특별시 종로구 창경궁로 123-20 (인의동),367.96,11.0,연와조,15000,숙박시설,3,1,19851217.0,19820408.0,0,0,0.0,주소만일치,N,N,인의동 89-15(아뜰리에),서울특별시 종로구 인의동 89-15번지,서울특별시 종로구 창경궁로 123-20 (인의동),hospitality_fuzzy_name_address,14.49,134.93,44.98,14,0.0652912498144373
201365.396263672,452247.733898196,서울특별시 종로구 숭인동 313-2번지,11110,17500,0,313,2,U-STAY HOSTEL,100217433,서울특별시 종로구 지봉로 24-12 (숭인동),860.28,21.0,철근콘크리트조,04000,근린생활시설,5,1,19960423.0,19950721.0,0,0,0.0,불일치,,,,,,,,293.93,59.81,1322,1.8643198527313989
198988.983646221,452223.097221066,서울특별시 종로구 낙원동 134-2번지,11110,13700,0,134,2,목시 서울 인사동 호텔,10021100217845,서울특별시 종로구 돈화문로11길 37 (낙원동),5971.04,21.0,철근콘크리트구조,15000,숙박시설(관광호텔),16,3,20191017.0,20150407.0,2,1,1.0,주소만일치,Y,N,MOXY 관광호텔,서울특별시 종로구 낙원동 134-2번지,서울특별시 종로구 돈화문로11길 37 (낙원동),exact_name_gu_dong,100.0,833.0,59.32,1902,1.7926362777015894
200280.218939597,452611.575936538,서울특별시 종로구 이화동 105-2번지,11110,16500,0,105,2,글루호텔,10021100217665,서울특별시 종로구 율곡로 228 (이화동),1843.53,21.0,철근콘크리트구조,15000,숙박시설,13,2,20190924.0,20160520.0,1,1,1.0,이름+주소일치,Y,N,글루호텔(glue hotel),서울특별시 종로구 이화동 105-2번지,서울특별시 종로구 율곡로 228 (이화동),exact_name_gu_dong,100.0,505.8,48.02,21,0.058188157683169
197769.253723172,452117.73988487,서울특별시 종로구 당주동 20-1번지,11110,11700,0,20,1,SOUNDS INN GWANGHWAMUN,100214699,서울특별시 종로구 새문안로9길 25 (당주동),715.9,21.0,"철근콘크리트조, 연와조",04000,"제1,2종근린생활시설",5,0,19630611.0,,0,0,0.0,불일치,,,,,,,,800.0,60.0,12,0.035612071788877
199893.409361955,452037.93796291,서울특별시 종로구 종로4가 167-1번지,11110,16100,0,167,1,진가,100217744,서울특별시 종로구 종로 198 (종로4가),270.48,21.0,철근콘크리트조,15000,"영업용, 관광숙박시설(호스텔)",5,0,19670520.0,,0,0,0.0,불일치,,,,,,,,800.0,60.0,159,0.6931471805599453
199177.064296757,452360.626823417,서울특별시 종로구 묘동 121번지,11110,15100,0,121,0,킴스텔코리아 종로점,100214703,서울특별시 종로구 돈화문로 56-1 (묘동),744.99,21.0,"철근콘크리트조, 연와조",15000,"숙박시설, 근린생활시설",6,0,19651111.0,,0,0,0.0,불일치,,,,,,,,800.0,60.0,146,0.698324068739479
200833.121381281,452040.323909642,서울특별시 종로구 창신동 444-9번지,11110,17400,0,444,9,호스텔 메가 동대문역,100217055,서울특별시 종로구 종로46길 22 (창신동),929.82,21.0,철근콘크리트조,04000,근린생활시설,5,1,19920811.0,19900715.0,0,0,0.0,불일치,,,,,,,,271.96,60.0,67,0.2810012094609484
199243.960959498,452293.899531079,서울특별시 종로구 봉익동 10-1번지,11110,15200,0,10,1,포레스트 스테이 종로,1002112483,서울특별시 종로구 율곡로10길 105 (봉익동),1931.23,21.0,철근콘크리트구조,03000,"근린생활시설,숙박시설",5,0,20070207.0,20040518.0,1,0,0.0,불일치,,,,,,,,268.79,58.18,95,0.3761947258080512
